,,1143,
-3,,1140,
-4,,1136,
-2,,1134,
-2,,1132,
0,,1132,
-2,,1130,
0,,1130,
-4,,1126,
-3,,1123,
-1,,1122,
0,,1122,
-2,,1120,
0,,1120,
1,,1121,
0,,1121,
-3,,1118,
-2,,1116,
0,,1116,
-3,,1113,
-2,,1111,
-1,,1110,
0,,1110,
-1,,1109,
-1,,1108,
-1,,1107,
-1,,1106,
0,,1106,
0,,1106,
-1,,1105,
0,,1105,
1,,1106,
0,,1106,
-1,,1105,
0,,1105,
0,,1105,
0,,1105,
-2,,1103,
0,,1103,
-1,,1102,
0,,1102,
-2,,1100,
-1,,1099,
-1,,1098,
0,,1098,
0,,1098,
2,,1100,
1,,1101,
2,,1103,
0,,1103,
0,,1103,
1,,1104,
0,,1104,
-1,,1103,
0,,1103,
1,,1104,
0,,1104,
0,,1104,
2,,1106,
1,,1107,
1,,1108,
0,,1108,
1,,1109,
2,,1111,
2,,1113,
0,,1113,
-1,,1112,
-1,,1111,
0,,1111,
-1,,1110,
0,,1110,
-1,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
0,,1109,
-1,,1108,
0,,1108,
-2,,1106,
0,,1106,
0,,1106,
0,,1106,
1,,1107,
0,,1107,
1,,1108,
0,,1108,
1,,1109,
0,,1109,
1,,1110,
2,,1112,
0,,1112,
-1,,1111,
0,,1111,
1,,1112,
0,,1112,
-2,,1110,
-1,,1109,
0,,1109,
-3,,1106,
-3,,1103,
0,,1103,
1,,1104,
0,,1104,
-2,,1102,
0,,1102,
0,,1102,
0,,1102,
-3,,1099,
-3,,1096,
-2,,1094,
0,,1094,
1,,1095,
0,,1095,
-2,,1093,
0,,1093,
0,,1093,
-3,,1090,
0,,1090,
0,,1090,
0,,1090,
0,,1090,
2,,1092,
0,,1092,
1,,1093,
0,,1093,
-1,,1092,
0,,1092,
0,,1092,
0,,1092,
3,,1095,
0,,1095,
2,,1097,
0,,1097,
1,,1098,
0,,1098,
2,,1100,
0,,1100,
2,,1102,
0,,1102,
1,,1103,
0,,1103,
1,,1104,
0,,1104,
2,,1106,
0,,1106,
0,,1106,
0,,1106,
1,,1107,
0,,1107,
-1,,1106,
0,,1106,
0,,1106,
0,,1106,
0,,1106,
-1,,1105,
-1,,1104,
-1,,1103,
0,,1103,
1,,1104,
1,,1105,
0,,1105,
-1,,1104,
-1,,1103,
0,,1103,
0,,1103,
0,,1103,
0,,1103,
0,,1103,
0,,1103,
2,,1105,
0,,1105,
1,,1106,
1,,1107,
0,,1107,
-1,,1106,
0,,1106,
2,,1108,
2,,1110,
2,,1112,
2,,1114,
1,,1115,
0,,1115,
-2,,1113,
0,,1113,
-1,,1112,
0,,1112,
1,,1113,
0,,1113,
-1,,1112,
0,,1112,
1,,1113,
0,,1113,
-2,,1111,
-2,,1109,
-1,,1108,
0,,1108,
1,,1109,
0,,1109,
-1,,1108,
-1,,1107,
-1,,1106,
-2,,1104,
-2,,1102,
-2,,1100,
0,,1100,
0,,1100,
0,,1100,
1,,1101,
0,,1101,
2,,1103,
0,,1103,
-1,,1102,
0,,1102,
2,,1104,
0,,1104,
-1,,1103,
0,,1103,
0,,1103,
0,,1103,
3,,1106,
0,,1106,
0,,1106,
0,,1106,
0,,1106,
0,,1106,
0,,1106,
-2,,1104,
0,,1104,
0,,1104,
0,,1104,
-1,,1103,
0,,1103,
1,,1104,
0,,1104,
-1,,1103,
-2,,1101,
-2,,1099,
0,,1099,
0,,1099,
0,,1099,
0,,1099,
-1,,1098,
0,,1098,
0,,1098,
0,,1098,
2,,1100,
0,,1100,
2,,1102,
0,,1102,
1,,1103,
0,,1103,
0,,1103,
0,,1103,
3,,1106,
0,,1106,
1,,1107,
0,,1107,
2,,1109,
0,,1109,
2,,1111,
0,,1111,
0,,1111,
0,,1111,
-1,,1110,
0,,1110,
1,,1111,
0,,1111,
1,,1112,
0,,1112,
1,,1113,
0,,1113,
1,,1114,
0,,1114,
1,,1115,
0,,1115,
2,,1117,
0,,1117,
2,,1119,
0,,1119,
3,,1122,
0,,1122,
0,,1122,
0,,1122,
1,,1123,
0,,1123,
2,,1125,
0,,1125,
0,,1125,
0,,1125,
-2,,1123,
0,,1123,
-1,,1122,
0,,1122,
-2,,1120,
0,,1120,
0,,1120,
0,,1120,
2,,1122,
0,,1122,
0,,1122,
0,,1122,
-2,,1120,
0,,1120,
2,,1122,
0,,1122,
4,,1126,
0,,1126,
-3,,1123,
0,,1123,
-3,,1120,
0,,1120,
-2,,1118,
0,,1118,
0,,1118,
0,,1118,
-3,,1115,
0,,1115,
-1,,1114,
0,,1114,
2,,1116,
0,,1116,
-4,,1112,
0,,1112,
-2,,1110,
0,,1110,
2,,1112,
0,,1112,
2,,1114,
0,,1114,
-3,,1111,
0,,1111,
0,,1111,
0,,1111,
-3,,1108,
0,,1108,
-1,,1107,
0,,1107,
